>>>> bench TAGS: 'alltests x ' SUITE: BenchmarkCodecXSuite
>>>> Skipping - these cannot (en|de)code TestStruc - encode (gcbor, xdr), decode (gcbor, vmsgpack, xdr, sereal)
goos: darwin
goarch: amd64
pkg: github.com/ugorji/go-codec-bench
BenchmarkCodecXSuite/init-metrics/Benchmark__Msgpack____Encode-8         	   10000	    184565 ns/op	   10224 B/op	      75 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Binc_______Encode-8         	   10000	    206659 ns/op	   12550 B/op	      80 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Simple_____Encode-8         	   10000	    198859 ns/op	   10224 B/op	      75 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Cbor_______Encode-8         	   10000	    188935 ns/op	   10224 B/op	      75 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Json_______Encode-8         	    3000	    507545 ns/op	   10352 B/op	      75 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Std_Json___Encode-8         	    3000	    536227 ns/op	  256048 B/op	     835 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Gob________Encode-8         	    5000	    270291 ns/op	  333546 B/op	     959 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__JsonIter___Encode-8         	    3000	    479037 ns/op	  183552 B/op	    3262 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Bson_______Encode-8         	    2000	    743008 ns/op	  715540 B/op	    5629 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__VMsgpack___Encode-8         	    2000	    657600 ns/op	  320385 B/op	     542 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Sereal_____Encode-8         	    5000	    361831 ns/op	  297526 B/op	    4286 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Msgpack____Decode-8         	    5000	    371492 ns/op	  120352 B/op	    1210 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Binc_______Decode-8         	    3000	    428559 ns/op	  126144 B/op	    1263 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Simple_____Decode-8         	    5000	    383547 ns/op	  120352 B/op	    1210 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Cbor_______Decode-8         	    5000	    380534 ns/op	  120352 B/op	    1210 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Json_______Decode-8         	    2000	    732482 ns/op	  159288 B/op	    1478 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Std_Json___Decode-8         	    1000	   2332339 ns/op	  276337 B/op	    6959 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Gob________Decode-8         	    5000	    386099 ns/op	  256678 B/op	    3261 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__JsonIter___Decode-8         	    2000	    911724 ns/op	  301457 B/op	    7769 allocs/op
BenchmarkCodecXSuite/init-metrics/Benchmark__Bson_______Decode-8         	    2000	   1157329 ns/op	  373121 B/op	   15703 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Msgpack____Encode-8        	   10000	    174305 ns/op	   10224 B/op	      75 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Binc_______Encode-8        	   10000	    195490 ns/op	   12553 B/op	      80 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Simple_____Encode-8        	   10000	    184454 ns/op	   10224 B/op	      75 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Cbor_______Encode-8        	   10000	    178140 ns/op	   10224 B/op	      75 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Json_______Encode-8        	    3000	    483744 ns/op	   10352 B/op	      75 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Std_Json___Encode-8        	    3000	    532382 ns/op	  256049 B/op	     835 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Gob________Encode-8        	    5000	    281319 ns/op	  333545 B/op	     959 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__JsonIter___Encode-8        	    3000	    485147 ns/op	  183552 B/op	    3262 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Bson_______Encode-8        	    2000	    768477 ns/op	  715539 B/op	    5629 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__VMsgpack___Encode-8        	    2000	    663463 ns/op	  320385 B/op	     542 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Sereal_____Encode-8        	    5000	    380179 ns/op	  297532 B/op	    4286 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Msgpack____Decode-8        	    5000	    374246 ns/op	  120352 B/op	    1210 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Binc_______Decode-8        	    3000	    433275 ns/op	  126144 B/op	    1263 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Simple_____Decode-8        	    5000	    386328 ns/op	  120352 B/op	    1210 allocs/op
BenchmarkCodecXSuite/options-false/Benchmark__Cbor_______Decode-8        	    5000	    381346 ns/op	  120352 B/op	    1210 allocs/op
